created_at,entry_id,PM1.0_CF_ATM_ug/m3,PM2.5_CF_ATM_ug/m3,PM10.0_CF_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_CF_1_ug/m3
2018-08-09 00:00:17 UTC,6524,4.07,5.21,5.35,968,-59,88,44,5.21
2018-08-09 00:01:36 UTC,6525,3.39,4.68,4.68,969,-55,88,44,4.68
2018-08-09 00:02:56 UTC,6526,3.65,5.42,5.51,971,-56,88,44,5.42
2018-08-09 00:04:16 UTC,6527,3.39,4.77,4.91,972,-56,88,44,4.77
2018-08-09 00:05:36 UTC,6528,3.3,5.02,5.4,973,-55,88,44,5.02
2018-08-09 00:06:56 UTC,6529,2.86,4.14,4.14,975,-57,88,45,4.14
2018-08-09 00:08:16 UTC,6530,3.33,4.56,4.74,976,-56,88,45,4.56
2018-08-09 00:09:36 UTC,6531,2.93,4.02,4.02,977,-56,88,44,4.02
2018-08-09 00:10:56 UTC,6532,2.95,4.41,4.48,979,-55,88,45,4.41
2018-08-09 00:12:16 UTC,6533,3.7,4.59,4.73,980,-55,88,45,4.59
2018-08-09 00:13:37 UTC,6534,3.66,4.8,4.98,981,-53,88,45,4.8
2018-08-09 00:14:56 UTC,6535,3.86,5.2,5.64,983,-52,88,45,5.2
2018-08-09 00:16:16 UTC,6536,4.05,5.68,5.93,984,-55,88,45,5.68
2018-08-09 00:17:36 UTC,6537,3.07,4.68,5.43,985,-56,88,45,4.68
2018-08-09 00:18:56 UTC,6538,3.09,4.36,4.36,987,-56,88,45,4.36
2018-08-09 00:20:16 UTC,6539,3.36,5,5,988,-57,88,45,5
2018-08-09 00:21:36 UTC,6540,3.43,5.25,5.55,989,-58,88,45,5.25
2018-08-09 00:22:56 UTC,6541,3.34,5.05,5.41,991,-58,88,46,5.05
2018-08-09 00:24:16 UTC,6542,3.23,5.39,5.39,992,-55,88,46,5.39
2018-08-09 00:25:37 UTC,6543,3.25,4.68,4.68,993,-55,87,47,4.68
2018-08-09 00:28:16 UTC,6544,3.73,5.41,5.55,996,-59,87,48,5.41
2018-08-09 00:29:37 UTC,6545,3.98,5.65,5.95,997,-58,87,49,5.65
2018-08-09 00:30:56 UTC,6546,3.73,5.13,5.4,999,-59,87,49,5.13
2018-08-09 00:32:16 UTC,6547,4.16,5.64,6.07,1000,-56,87,50,5.64
2018-08-09 00:33:36 UTC,6548,3.45,4.93,5.2,1001,-56,87,50,4.93
2018-08-09 00:34:57 UTC,6549,3.61,5.43,5.73,1003,-55,87,50,5.43
2018-08-09 00:36:16 UTC,6550,3.52,5.11,5.25,1004,-56,87,50,5.11
2018-08-09 00:37:36 UTC,6551,3.48,4.3,4.57,1005,-56,87,50,4.3
2018-08-09 00:38:56 UTC,6552,3.84,5.18,5.43,1007,-56,87,50,5.18
2018-08-09 00:40:19 UTC,6553,3.48,4.91,5.05,1008,-56,86,51,4.91
2018-08-09 00:41:36 UTC,6554,3.27,4.52,4.52,1009,-56,86,51,4.52
2018-08-09 00:42:56 UTC,6555,3.43,4.55,4.73,1011,-56,86,51,4.55
2018-08-09 00:44:16 UTC,6556,3.74,5.14,5.49,1012,-56,86,51,5.14
2018-08-09 00:45:36 UTC,6557,3.57,4.61,4.68,1013,-55,86,51,4.61
2018-08-09 00:46:56 UTC,6558,3.63,4.67,4.72,1015,-55,86,52,4.67
2018-08-09 00:48:16 UTC,6559,4.16,5.5,5.95,1016,-58,86,52,5.5
2018-08-09 00:49:36 UTC,6560,4.11,5.34,5.36,1017,-58,86,52,5.34
2018-08-09 00:50:56 UTC,6561,4.34,5.68,5.68,1019,-58,86,52,5.68
2018-08-09 00:52:16 UTC,6562,4.48,6.27,6.91,1020,-56,86,52,6.27
2018-08-09 00:53:36 UTC,6563,4.41,5.48,5.93,1021,-56,86,53,5.48
2018-08-09 00:54:57 UTC,6564,3.88,5.6,6.07,1023,-56,86,53,5.6
2018-08-09 00:56:16 UTC,6565,3.8,5.31,5.69,1024,-56,86,53,5.31
2018-08-09 00:57:36 UTC,6566,3.98,6.28,6.51,1025,-56,86,52,6.28
2018-08-09 00:58:56 UTC,6567,3.98,5.89,6.34,1027,-52,86,52,5.89
2018-08-09 01:00:16 UTC,6568,4.34,6.43,6.57,1028,-52,86,53,6.43
2018-08-09 01:01:36 UTC,6569,4.07,5.48,5.48,1029,-52,86,54,5.48
2018-08-09 01:02:56 UTC,6570,3.86,5.64,5.84,1031,-53,86,54,5.64
2018-08-09 01:04:16 UTC,6571,4.14,5.8,6.11,1032,-53,86,54,5.8
2018-08-09 01:05:36 UTC,6572,4.61,5.95,6.23,1033,-52,86,54,5.95
2018-08-09 01:06:56 UTC,6573,3.32,4.75,4.89,1035,-57,86,54,4.75
2018-08-09 01:08:16 UTC,6574,4,5.5,6.2,1036,-57,86,54,5.5
2018-08-09 01:09:36 UTC,6575,4.61,6.02,6.57,1037,-57,86,54,6.02
2018-08-09 01:10:56 UTC,6576,4.77,6.45,6.45,1039,-56,86,53,6.45
2018-08-09 01:12:16 UTC,6577,4.39,6.11,6.45,1040,-56,86,53,6.11
2018-08-09 01:13:36 UTC,6578,4.47,6.16,6.16,1041,-55,86,53,6.16
2018-08-09 01:14:56 UTC,6579,4.77,6.8,7.23,1043,-55,85,54,6.8
2018-08-09 01:16:16 UTC,6580,3.98,5.7,5.8,1044,-57,86,53,5.7
2018-08-09 01:17:36 UTC,6581,4.8,6.57,6.57,1045,-56,85,54,6.57
2018-08-09 01:18:56 UTC,6582,4.59,6.7,7.25,1047,-56,86,53,6.7
2018-08-09 01:20:16 UTC,6583,4.64,6.23,6.52,1048,-57,86,53,6.23
2018-08-09 01:21:36 UTC,6584,4.32,6,6.25,1049,-54,86,53,6
2018-08-09 01:22:56 UTC,6585,4.33,5.58,5.77,1051,-58,86,53,5.58
2018-08-09 01:24:16 UTC,6586,3.66,5.11,5.48,1052,-59,86,53,5.11
2018-08-09 01:25:36 UTC,6587,4.5,5.89,6.82,1053,-54,86,53,5.89
2018-08-09 01:28:16 UTC,6588,4.45,6,6.43,1056,-59,85,53,6
2018-08-09 01:29:36 UTC,6589,4,5.2,5.2,1057,-59,85,53,5.2
2018-08-09 01:30:56 UTC,6590,4.12,5.33,5.7,1059,-58,85,54,5.33
2018-08-09 01:32:16 UTC,6591,4.39,6.05,6.05,1060,-58,85,53,6.05
2018-08-09 01:33:37 UTC,6592,3.86,5.82,5.95,1061,-57,85,54,5.82
2018-08-09 01:34:56 UTC,6593,4.14,5.59,6.05,1063,-57,85,54,5.59
2018-08-09 01:36:16 UTC,6594,4.2,6.09,6.34,1064,-59,85,54,6.09
2018-08-09 01:37:36 UTC,6595,4.55,6.64,6.91,1065,-59,85,54,6.64
2018-08-09 01:38:56 UTC,6596,4.33,6.13,6.27,1067,-59,85,54,6.13
2018-08-09 01:40:16 UTC,6597,4.39,6.16,6.3,1068,-59,85,54,6.16
2018-08-09 01:41:36 UTC,6598,4.07,5.68,6.41,1069,-59,85,55,5.68
2018-08-09 01:42:56 UTC,6599,3.73,5.7,5.7,1071,-59,85,55,5.7
2018-08-09 01:44:16 UTC,6600,4,6.2,6.59,1072,-59,84,55,6.2
2018-08-09 01:45:36 UTC,6601,4.7,5.68,6.25,1073,-59,85,55,5.68
2018-08-09 01:46:56 UTC,6602,4.05,5.57,6.16,1075,-59,85,55,5.57
2018-08-09 01:48:17 UTC,6603,4.27,5.59,5.73,1076,-59,84,55,5.59
2018-08-09 01:49:36 UTC,6604,4.45,6.91,7.18,1077,-58,84,55,6.91
2018-08-09 01:50:56 UTC,6605,4.82,6.32,6.61,1079,-59,84,55,6.32
2018-08-09 01:52:16 UTC,6606,4.86,6.49,6.77,1080,-57,84,56,6.49
2018-08-09 01:53:36 UTC,6607,4.64,5.75,6.16,1081,-57,84,56,5.75
2018-08-09 01:54:56 UTC,6608,5.16,7.57,8.09,1083,-57,84,56,7.57
2018-08-09 01:56:16 UTC,6609,5.3,6.7,6.95,1084,-59,84,56,6.7
2018-08-09 01:57:36 UTC,6610,6.25,8.23,8.82,1085,-57,84,56,8.23
2018-08-09 01:58:56 UTC,6611,6.77,9.86,10.73,1087,-56,84,56,9.86
2018-08-09 02:00:18 UTC,6612,6.67,10.21,10.77,1088,-56,84,56,10.21
2018-08-09 02:01:36 UTC,6613,5.89,8.5,9.41,1089,-57,84,56,8.5
2018-08-09 02:02:56 UTC,6614,6.77,9.75,10.32,1091,-60,84,57,9.75
2018-08-09 02:04:16 UTC,6615,5.82,9.18,10.32,1092,-61,84,57,9.18
2018-08-09 02:05:36 UTC,6616,5.19,7.35,7.58,1093,-60,84,57,7.35
2018-08-09 02:06:56 UTC,6617,5.84,8.39,8.73,1095,-60,84,57,8.39
2018-08-09 02:08:16 UTC,6618,5.41,7.5,7.89,1096,-59,84,57,7.5
2018-08-09 02:09:36 UTC,6619,5.18,7.64,8.34,1097,-53,84,57,7.64
2018-08-09 02:10:56 UTC,6620,5.98,7.64,8.43,1099,-57,84,57,7.64
2018-08-09 02:12:16 UTC,6621,6.32,8.48,8.86,1100,-59,84,57,8.48
2018-08-09 02:13:36 UTC,6622,5.73,8.09,8.61,1101,-58,84,57,8.09
2018-08-09 02:14:56 UTC,6623,5.75,7.48,8.18,1103,-59,84,57,7.48
2018-08-09 02:16:16 UTC,6624,6.11,8.33,9.04,1104,-59,84,57,8.33
2018-08-09 02:17:36 UTC,6625,6.07,8.34,8.8,1105,-59,84,58,8.34
2018-08-09 02:18:57 UTC,6626,6.52,8.89,8.89,1107,-58,84,57,8.89
2018-08-09 02:20:16 UTC,6627,6.57,7.98,8.11,1108,-58,84,57,7.98
2018-08-09 02:21:36 UTC,6628,6.07,8.09,8.61,1109,-59,84,57,8.09
2018-08-09 02:22:56 UTC,6629,5.82,8.14,8.68,1111,-59,84,57,8.14
2018-08-09 02:24:16 UTC,6630,5.86,7.45,7.73,1112,-59,84,57,7.45
2018-08-09 02:25:36 UTC,6631,5.86,8.45,8.7,1113,-59,84,57,8.45
2018-08-09 02:26:56 UTC,6632,5.73,8.16,8.27,1115,-59,84,57,8.16
2018-08-09 02:28:16 UTC,6633,6.59,8.68,9.05,1116,-59,84,57,8.68
2018-08-09 02:29:36 UTC,6634,6.48,8.59,8.83,1117,-59,84,57,8.59
2018-08-09 02:30:56 UTC,6635,6.68,9.09,9.36,1119,-59,84,57,9.09
2018-08-09 02:32:17 UTC,6636,7.33,9.62,10.07,1120,-56,84,57,9.62
2018-08-09 02:33:36 UTC,6637,6.59,9.34,9.5,1121,-59,84,57,9.34
2018-08-09 02:34:56 UTC,6638,6.84,9.7,9.7,1123,-57,84,57,9.7
2018-08-09 02:36:16 UTC,6639,7.18,9.45,10,1124,-56,84,57,9.45
2018-08-09 02:37:37 UTC,6640,7.05,9.23,9.7,1125,-57,84,57,9.23
2018-08-09 02:38:56 UTC,6641,7.16,10.45,10.98,1127,-57,84,57,10.45
2018-08-09 02:40:16 UTC,6642,7.04,9.2,9.6,1128,-57,84,57,9.2
2018-08-09 02:41:37 UTC,6643,7.84,10.49,11.27,1129,-56,84,57,10.49
2018-08-09 02:42:56 UTC,6644,7.52,10.07,10.07,1131,-57,84,57,10.07
2018-08-09 02:44:16 UTC,6645,6.86,9.5,10.16,1132,-56,84,57,9.5
2018-08-09 02:45:36 UTC,6646,7.47,9.73,10.11,1133,-55,84,57,9.73
2018-08-09 02:46:56 UTC,6647,6.58,10.13,10.22,1135,-55,84,57,10.13
2018-08-09 02:48:16 UTC,6648,7.14,10.11,10.55,1136,-56,84,57,10.11
2018-08-09 02:49:36 UTC,6649,7.32,9.5,9.89,1137,-56,84,57,9.5
2018-08-09 02:50:56 UTC,6650,7.11,9.67,10.07,1139,-56,83,57,9.67
2018-08-09 02:52:16 UTC,6651,7.34,9.89,10.36,1140,-57,84,57,9.89
2018-08-09 02:53:36 UTC,6652,7.56,10.16,10.73,1141,-55,84,57,10.16
2018-08-09 02:54:57 UTC,6653,6.93,9.27,9.4,1143,-54,84,57,9.27
2018-08-09 02:56:16 UTC,6654,7.55,10.18,10.98,1144,-54,84,57,10.18
2018-08-09 02:57:36 UTC,6655,6.96,9.2,9.89,1145,-53,84,57,9.2
2018-08-09 02:58:56 UTC,6656,8.18,12.39,13.23,1147,-53,84,57,12.39
2018-08-09 03:00:16 UTC,6657,7.36,10.09,10.7,1148,-58,84,57,10.09
2018-08-09 03:01:36 UTC,6658,7.91,11.16,11.25,1149,-58,84,57,11.16
2018-08-09 03:02:56 UTC,6659,7.82,10.16,10.58,1151,-55,84,56,10.16
2018-08-09 03:05:36 UTC,6660,7.36,9.5,9.5,1153,-56,84,57,9.5
2018-08-09 03:06:58 UTC,6661,7.66,10.3,10.52,1155,-56,84,57,10.3
2018-08-09 03:08:16 UTC,6662,7.44,10.33,10.69,1156,-58,84,57,10.33
2018-08-09 03:09:36 UTC,6663,7.02,9.91,10.34,1157,-58,84,57,9.91
2018-08-09 03:10:56 UTC,6664,7.41,10.39,10.39,1159,-57,84,57,10.39
2018-08-09 03:12:17 UTC,6665,6.98,10.04,10.38,1160,-56,84,57,10.04
2018-08-09 03:13:36 UTC,6666,7.43,10.39,11.2,1161,-55,84,57,10.39
